timestamp,substation,event_type,fault_code,load_MW
2025-04-22 07:08:37,Substation-7,Overload,OL-799,139.52
2025-04-22 07:17:37,Substation-2,Frequency Drift,FD-112,118.31
2025-04-22 07:22:37,Substation-1,Frequency Drift,FD-112,141.12
2025-04-22 07:27:37,Substation-6,Normal,,125.13
2025-04-22 07:32:37,Substation-2,Overvoltage,OV-501,78.42
2025-04-22 07:41:37,Substation-2,Overload,OL-799,177.05
2025-04-22 07:45:37,Substation-9,Normal,,161.67
2025-04-22 07:45:37,Substation-2,Frequency Drift,FD-112,151.87
2025-04-22 07:47:37,Substation-8,Normal,,142.91
2025-04-22 07:53:37,Substation-9,Transformer Overheat,TR-210,197.57
2025-04-22 08:08:37,Substation-6,Normal,,79.89
2025-04-22 08:10:37,Substation-6,Normal,,172.53
2025-04-22 09:04:37,Substation-2,Overload,OL-799,185.79
2025-04-22 09:11:37,Substation-10,Breaker Tripped,BR-305,189.59
2025-04-22 09:12:37,Substation-9,Overload,OL-799,84.0
2025-04-22 09:18:37,Substation-7,Line Fault,LF-388,115.25
2025-04-22 09:22:37,Substation-5,Normal,,72.07
2025-04-22 09:42:37,Substation-10,Normal,,86.63
2025-04-22 09:42:37,Substation-2,Breaker Tripped,BR-305,96.59
2025-04-22 09:50:37,Substation-10,Overvoltage,OV-501,165.97
2025-04-22 10:17:37,Substation-10,Normal,,104.89
2025-04-22 10:23:37,Substation-2,Line Fault,LF-388,155.37
2025-04-22 10:28:37,Substation-5,Frequency Drift,FD-112,144.08
2025-04-22 10:32:37,Substation-4,Normal,,177.33
2025-04-22 10:53:37,Substation-3,Normal,,142.7
2025-04-22 11:03:37,Substation-4,Undervoltage,UV-402,83.67
2025-04-22 11:08:37,Substation-5,Normal,,197.07
2025-04-22 11:21:37,Substation-2,Overvoltage,OV-501,50.42
2025-04-22 11:37:37,Substation-7,Normal,,88.68
2025-04-22 12:02:37,Substation-1,Normal,,199.56
2025-04-22 12:04:37,Substation-10,Overload,OL-799,181.01
2025-04-22 12:07:37,Substation-6,Normal,,54.3
2025-04-22 12:27:37,Substation-1,Breaker Tripped,BR-305,110.44
2025-04-22 12:54:37,Substation-4,Transformer Overheat,TR-210,193.11
2025-04-22 12:57:37,Substation-1,Normal,,102.88
2025-04-22 13:01:37,Substation-2,Transformer Overheat,TR-210,123.36
2025-04-22 13:04:37,Substation-10,Overvoltage,OV-501,102.3
2025-04-22 13:28:37,Substation-7,Normal,,94.12
2025-04-22 13:55:37,Substation-3,Transformer Overheat,TR-210,116.49
2025-04-22 13:55:37,Substation-5,Line Fault,LF-388,169.41
2025-04-22 13:57:37,Substation-9,Frequency Drift,FD-112,152.89
2025-04-22 14:14:37,Substation-9,Transformer Overheat,TR-210,137.67
2025-04-22 14:23:37,Substation-2,Undervoltage,UV-402,186.09
2025-04-22 14:32:37,Substation-9,Line Fault,LF-388,138.77
2025-04-22 14:43:37,Substation-8,Normal,,150.82
2025-04-22 14:48:37,Substation-5,Normal,,70.43
2025-04-22 14:57:37,Substation-1,Normal,,150.63
2025-04-22 15:04:37,Substation-9,Normal,,52.12
2025-04-22 15:12:37,Substation-9,Normal,,89.65
2025-04-22 15:16:37,Substation-1,Normal,,119.71
2025-04-22 15:21:37,Substation-5,Normal,,99.09
2025-04-22 15:29:37,Substation-6,Normal,,175.16
2025-04-22 15:47:37,Substation-10,Undervoltage,UV-402,87.9
2025-04-22 16:04:37,Substation-4,Normal,,146.53
2025-04-22 16:26:37,Substation-6,Normal,,107.43
2025-04-22 16:31:37,Substation-9,Frequency Drift,FD-112,80.86
2025-04-22 16:34:37,Substation-10,Normal,,78.53
2025-04-22 16:35:37,Substation-7,Breaker Tripped,BR-305,184.97
2025-04-22 16:42:37,Substation-5,Overvoltage,OV-501,172.52
2025-04-22 16:59:37,Substation-8,Overload,OL-799,67.32
2025-04-22 17:05:37,Substation-8,Normal,,187.62
2025-04-22 17:21:37,Substation-7,Normal,,188.46
2025-04-22 17:38:37,Substation-2,Normal,,81.7
2025-04-22 17:50:37,Substation-8,Normal,,112.86
2025-04-22 18:03:37,Substation-1,Line Fault,LF-388,85.62
2025-04-22 18:23:37,Substation-5,Line Fault,LF-388,169.9
2025-04-22 18:30:37,Substation-7,Overvoltage,OV-501,175.93
2025-04-22 18:54:37,Substation-1,Line Fault,LF-388,119.29
2025-04-22 18:58:37,Substation-5,Normal,,108.12
2025-04-22 19:09:37,Substation-1,Normal,,113.01
2025-04-22 19:23:37,Substation-7,Normal,,92.13
2025-04-22 19:23:37,Substation-9,Frequency Drift,FD-112,137.31
2025-04-22 19:31:37,Substation-2,Transformer Overheat,TR-210,107.93
2025-04-22 20:03:37,Substation-4,Normal,,151.8
2025-04-22 20:05:37,Substation-4,Normal,,167.2
2025-04-22 20:07:37,Substation-1,Overload,OL-799,136.26
2025-04-22 20:13:37,Substation-10,Normal,,155.57
2025-04-22 20:13:37,Substation-7,Normal,,63.56
2025-04-22 20:15:37,Substation-4,Normal,,77.74
2025-04-22 20:15:37,Substation-6,Overvoltage,OV-501,178.63
2025-04-22 20:22:37,Substation-2,Frequency Drift,FD-112,54.87
2025-04-22 20:24:37,Substation-9,Transformer Overheat,TR-210,86.18
2025-04-22 20:43:37,Substation-7,Breaker Tripped,BR-305,129.46
2025-04-22 20:49:37,Substation-5,Normal,,139.23
2025-04-22 21:14:37,Substation-5,Overvoltage,OV-501,98.98
2025-04-22 21:22:37,Substation-6,Undervoltage,UV-402,124.27
2025-04-22 21:37:37,Substation-7,Normal,,74.74
2025-04-22 21:40:37,Substation-3,Line Fault,LF-388,108.72
2025-04-22 21:40:37,Substation-5,Overload,OL-799,176.66
2025-04-22 21:42:37,Substation-1,Overvoltage,OV-501,130.77
2025-04-22 22:27:37,Substation-2,Normal,,191.75
2025-04-22 22:42:37,Substation-1,Normal,,56.7
2025-04-22 22:58:37,Substation-6,Normal,,177.8
2025-04-22 23:21:37,Substation-2,Undervoltage,UV-402,130.81
2025-04-22 23:26:37,Substation-4,Line Fault,LF-388,183.01
2025-04-22 23:29:37,Substation-6,Undervoltage,UV-402,59.09
2025-04-22 23:34:37,Substation-5,Overvoltage,OV-501,119.4
2025-04-22 23:38:37,Substation-2,Normal,,75.19
2025-04-22 23:46:37,Substation-2,Undervoltage,UV-402,84.13
2025-04-23 00:08:37,Substation-7,Frequency Drift,FD-112,160.23
2025-04-23 00:09:37,Substation-3,Normal,,172.86
2025-04-23 00:19:37,Substation-3,Normal,,155.0
2025-04-23 00:21:37,Substation-9,Normal,,172.9
2025-04-23 00:23:37,Substation-1,Normal,,186.64
2025-04-23 00:25:37,Substation-2,Breaker Tripped,BR-305,169.16
2025-04-23 00:34:37,Substation-8,Overvoltage,OV-501,96.36
2025-04-23 00:37:37,Substation-5,Normal,,60.6
2025-04-23 00:40:37,Substation-9,Frequency Drift,FD-112,132.59
2025-04-23 00:48:37,Substation-6,Normal,,132.72
2025-04-23 00:51:37,Substation-5,Breaker Tripped,BR-305,50.65
2025-04-23 00:56:37,Substation-3,Normal,,171.63
2025-04-23 01:02:37,Substation-2,Line Fault,LF-388,175.48
2025-04-23 01:04:37,Substation-3,Overload,OL-799,180.83
2025-04-23 01:21:37,Substation-7,Normal,,184.71
2025-04-23 01:24:37,Substation-7,Normal,,122.01
2025-04-23 01:25:37,Substation-4,Overvoltage,OV-501,180.8
2025-04-23 01:28:37,Substation-7,Normal,,136.7
2025-04-23 01:29:37,Substation-3,Normal,,69.52
2025-04-23 01:50:37,Substation-10,Normal,,152.01
2025-04-23 01:56:37,Substation-7,Normal,,153.44
2025-04-23 01:57:37,Substation-1,Normal,,99.43
2025-04-23 01:58:37,Substation-4,Transformer Overheat,TR-210,90.72
2025-04-23 02:00:37,Substation-9,Normal,,99.44
2025-04-23 02:06:37,Substation-9,Normal,,91.06
2025-04-23 02:12:37,Substation-6,Normal,,177.36
2025-04-23 02:15:37,Substation-9,Normal,,179.93
2025-04-23 02:32:37,Substation-4,Breaker Tripped,BR-305,147.56
2025-04-23 02:47:37,Substation-2,Line Fault,LF-388,68.24
2025-04-23 02:55:37,Substation-2,Breaker Tripped,BR-305,75.82
2025-04-23 03:20:37,Substation-9,Normal,,70.37
2025-04-23 03:23:37,Substation-6,Normal,,54.52
2025-04-23 03:27:37,Substation-6,Line Fault,LF-388,89.52
2025-04-23 03:52:37,Substation-3,Normal,,193.21
2025-04-23 03:54:37,Substation-8,Normal,,124.09
2025-04-23 03:54:37,Substation-8,Normal,,120.77
2025-04-23 04:05:37,Substation-4,Breaker Tripped,BR-305,149.13
2025-04-23 04:16:37,Substation-4,Normal,,191.17
2025-04-23 04:19:37,Substation-2,Breaker Tripped,BR-305,150.42
2025-04-23 04:26:37,Substation-4,Transformer Overheat,TR-210,171.42
2025-04-23 04:31:37,Substation-7,Normal,,91.6
2025-04-23 04:32:37,Substation-3,Overvoltage,OV-501,144.54
2025-04-23 04:33:37,Substation-2,Line Fault,LF-388,76.79
2025-04-23 04:44:37,Substation-7,Normal,,113.12
2025-04-23 04:46:37,Substation-6,Normal,,183.29
2025-04-23 04:51:37,Substation-1,Line Fault,LF-388,150.64
2025-04-23 05:02:37,Substation-5,Normal,,51.42
2025-04-23 05:09:37,Substation-9,Normal,,178.02
2025-04-23 05:15:37,Substation-9,Breaker Tripped,BR-305,175.95
2025-04-23 05:35:37,Substation-2,Normal,,61.1
2025-04-23 05:37:37,Substation-5,Normal,,84.02
2025-04-23 05:57:37,Substation-4,Breaker Tripped,BR-305,81.56
2025-04-23 05:58:37,Substation-6,Normal,,142.63
2025-04-23 06:05:37,Substation-6,Overvoltage,OV-501,88.06
2025-04-23 06:32:37,Substation-4,Undervoltage,UV-402,191.59
2025-04-23 06:36:37,Substation-5,Normal,,114.3
2025-04-23 06:48:37,Substation-10,Normal,,196.82
2025-04-23 06:55:37,Substation-10,Normal,,138.69
2025-04-23 06:57:37,Substation-1,Frequency Drift,FD-112,145.26
2025-04-23 07:02:37,Substation-10,Normal,,139.85
2025-04-23 07:02:37,Substation-1,Normal,,133.79
2025-04-23 07:04:37,Substation-8,Normal,,145.83
2025-04-23 07:05:37,Substation-7,Overload,OL-799,145.97
2025-04-23 07:09:37,Substation-5,Overvoltage,OV-501,172.1
2025-04-23 07:20:37,Substation-5,Breaker Tripped,BR-305,104.19
2025-04-23 07:56:37,Substation-4,Line Fault,LF-388,53.82
2025-04-23 07:56:37,Substation-3,Frequency Drift,FD-112,152.49
2025-04-23 07:57:37,Substation-7,Normal,,91.07
2025-04-23 08:02:37,Substation-6,Frequency Drift,FD-112,104.77
2025-04-23 08:03:37,Substation-6,Normal,,136.66
2025-04-23 08:16:37,Substation-10,Frequency Drift,FD-112,193.46
2025-04-23 08:30:37,Substation-9,Normal,,60.22
2025-04-23 08:39:37,Substation-10,Normal,,180.15
2025-04-23 08:40:37,Substation-4,Frequency Drift,FD-112,185.37
2025-04-23 08:59:37,Substation-6,Frequency Drift,FD-112,187.49
2025-04-23 09:39:37,Substation-3,Overvoltage,OV-501,164.19
2025-04-23 10:16:37,Substation-7,Breaker Tripped,BR-305,87.35
2025-04-23 10:19:37,Substation-6,Overvoltage,OV-501,134.63
2025-04-23 10:20:37,Substation-2,Normal,,79.62
2025-04-23 10:21:37,Substation-10,Overvoltage,OV-501,119.15
2025-04-23 10:26:37,Substation-2,Overvoltage,OV-501,112.45
2025-04-23 10:28:37,Substation-1,Overvoltage,OV-501,103.33
2025-04-23 10:30:37,Substation-6,Normal,,109.43
2025-04-23 10:36:37,Substation-4,Overload,OL-799,77.28
2025-04-23 10:37:37,Substation-4,Normal,,85.55
2025-04-23 10:52:37,Substation-7,Normal,,116.58
2025-04-23 10:55:37,Substation-4,Transformer Overheat,TR-210,69.76
2025-04-23 10:57:37,Substation-2,Normal,,101.94
2025-04-23 11:08:37,Substation-5,Line Fault,LF-388,118.08
2025-04-23 11:14:37,Substation-6,Undervoltage,UV-402,170.85
2025-04-23 11:16:37,Substation-6,Undervoltage,UV-402,101.26
2025-04-23 11:18:37,Substation-3,Line Fault,LF-388,106.16
2025-04-23 11:20:37,Substation-5,Transformer Overheat,TR-210,65.55
2025-04-23 11:21:37,Substation-7,Undervoltage,UV-402,110.95
2025-04-23 11:26:37,Substation-8,Overload,OL-799,122.93
2025-04-23 11:32:37,Substation-4,Frequency Drift,FD-112,55.95
2025-04-23 11:32:37,Substation-6,Undervoltage,UV-402,158.08
2025-04-23 11:32:37,Substation-5,Normal,,134.96
2025-04-23 11:35:37,Substation-9,Normal,,108.85
2025-04-23 11:41:37,Substation-3,Normal,,181.98
2025-04-23 11:55:37,Substation-9,Normal,,80.22
2025-04-23 12:09:37,Substation-8,Normal,,174.08
2025-04-23 12:40:37,Substation-1,Overvoltage,OV-501,174.49
2025-04-23 12:55:37,Substation-10,Normal,,112.1
2025-04-23 13:01:37,Substation-6,Frequency Drift,FD-112,78.12
2025-04-23 13:08:37,Substation-1,Line Fault,LF-388,192.88
2025-04-23 13:40:37,Substation-8,Normal,,132.59
2025-04-23 13:52:37,Substation-2,Line Fault,LF-388,65.98
2025-04-23 14:15:37,Substation-7,Normal,,89.08
2025-04-23 14:23:37,Substation-10,Normal,,52.44
2025-04-23 14:34:37,Substation-8,Normal,,127.67
2025-04-23 14:49:37,Substation-10,Line Fault,LF-388,68.95
2025-04-23 15:49:37,Substation-7,Transformer Overheat,TR-210,103.27
2025-04-23 15:58:37,Substation-1,Breaker Tripped,BR-305,52.4
2025-04-23 16:00:37,Substation-2,Overload,OL-799,82.68
2025-04-23 16:00:37,Substation-1,Undervoltage,UV-402,63.55
2025-04-23 16:17:37,Substation-9,Undervoltage,UV-402,129.63
2025-04-23 16:25:37,Substation-6,Normal,,124.1
2025-04-23 16:27:37,Substation-7,Undervoltage,UV-402,62.29
2025-04-23 16:29:37,Substation-2,Frequency Drift,FD-112,172.99
2025-04-23 17:02:37,Substation-2,Line Fault,LF-388,115.81
2025-04-23 17:13:37,Substation-5,Line Fault,LF-388,145.7
2025-04-23 17:15:37,Substation-5,Overvoltage,OV-501,96.19
2025-04-23 17:22:37,Substation-10,Undervoltage,UV-402,136.19
2025-04-23 17:40:37,Substation-9,Undervoltage,UV-402,94.58
2025-04-23 18:07:37,Substation-6,Overload,OL-799,106.69
2025-04-23 18:20:37,Substation-9,Breaker Tripped,BR-305,50.1
2025-04-23 18:30:37,Substation-8,Line Fault,LF-388,105.22
2025-04-23 18:30:37,Substation-8,Normal,,170.48
2025-04-23 18:47:37,Substation-10,Transformer Overheat,TR-210,125.99
2025-04-23 19:05:37,Substation-6,Normal,,195.33
2025-04-23 19:05:37,Substation-8,Normal,,149.53
2025-04-23 19:25:37,Substation-1,Normal,,109.19
2025-04-23 19:30:37,Substation-6,Transformer Overheat,TR-210,150.02
2025-04-23 19:39:37,Substation-9,Transformer Overheat,TR-210,85.79
2025-04-23 20:05:37,Substation-4,Overvoltage,OV-501,86.43
2025-04-23 20:15:37,Substation-5,Undervoltage,UV-402,181.54
2025-04-23 20:21:37,Substation-1,Normal,,143.29
2025-04-23 20:21:37,Substation-7,Overvoltage,OV-501,107.67
2025-04-23 20:27:37,Substation-2,Overvoltage,OV-501,98.95
2025-04-23 21:00:37,Substation-9,Undervoltage,UV-402,141.2
2025-04-23 21:08:37,Substation-5,Line Fault,LF-388,65.03
2025-04-23 21:31:37,Substation-2,Normal,,99.04
2025-04-23 21:32:37,Substation-7,Transformer Overheat,TR-210,189.8
2025-04-23 21:34:37,Substation-8,Overload,OL-799,115.38
2025-04-23 21:35:37,Substation-5,Undervoltage,UV-402,134.38
2025-04-23 21:37:37,Substation-10,Undervoltage,UV-402,111.09
2025-04-23 21:44:37,Substation-4,Normal,,193.64
2025-04-23 21:46:37,Substation-9,Normal,,122.21
2025-04-23 21:50:37,Substation-2,Breaker Tripped,BR-305,191.91
2025-04-23 21:51:37,Substation-1,Normal,,140.24
2025-04-23 21:57:37,Substation-7,Breaker Tripped,BR-305,69.46
2025-04-23 22:08:37,Substation-2,Normal,,187.9
2025-04-23 22:16:37,Substation-8,Transformer Overheat,TR-210,67.38
2025-04-23 22:48:37,Substation-1,Normal,,181.46
2025-04-23 23:04:37,Substation-4,Breaker Tripped,BR-305,68.23
2025-04-23 23:43:37,Substation-2,Normal,,96.58
2025-04-24 00:09:37,Substation-6,Line Fault,LF-388,116.36
2025-04-24 00:23:37,Substation-10,Normal,,151.0
2025-04-24 00:28:37,Substation-8,Normal,,140.07
2025-04-24 00:31:37,Substation-3,Normal,,187.25
2025-04-24 01:08:37,Substation-2,Normal,,182.1
2025-04-24 01:17:37,Substation-9,Undervoltage,UV-402,74.45
2025-04-24 01:30:37,Substation-1,Overvoltage,OV-501,166.76
2025-04-24 01:42:37,Substation-5,Normal,,153.91
2025-04-24 01:42:37,Substation-10,Normal,,106.23
2025-04-24 01:52:37,Substation-5,Undervoltage,UV-402,179.23
2025-04-24 01:56:37,Substation-8,Frequency Drift,FD-112,155.85
2025-04-24 02:24:37,Substation-3,Frequency Drift,FD-112,55.7
2025-04-24 02:29:37,Substation-5,Overvoltage,OV-501,89.8
2025-04-24 02:32:37,Substation-6,Breaker Tripped,BR-305,93.96
2025-04-24 02:49:37,Substation-2,Overvoltage,OV-501,114.04
2025-04-24 02:49:37,Substation-10,Normal,,193.46
2025-04-24 03:02:37,Substation-2,Normal,,70.84
2025-04-24 03:11:37,Substation-8,Transformer Overheat,TR-210,62.52
2025-04-24 03:14:37,Substation-8,Overvoltage,OV-501,136.8
2025-04-24 03:17:37,Substation-4,Overload,OL-799,194.66
2025-04-24 03:22:37,Substation-10,Undervoltage,UV-402,120.75
2025-04-24 03:25:37,Substation-2,Normal,,122.7
2025-04-24 03:27:37,Substation-3,Normal,,107.98
2025-04-24 03:32:37,Substation-4,Transformer Overheat,TR-210,55.88
2025-04-24 03:32:37,Substation-6,Normal,,102.09
2025-04-24 03:37:37,Substation-2,Undervoltage,UV-402,140.52
